city;month;avg_mth_en_consumption_house_kwh;energy_price_eur_kwh;solar_panel_brand;solar_panel_power_kwh;solar_panel_efficiency_%
zagreb;2;338;0.1170;jinko_solar;405;0.8
zagreb;3;351;0.1170;jinko_solar;405;0.8
zagreb;4;383;0.1170;jinko_solar;405;0.8
zagreb;5;425;0.1170;jinko_solar;405;0.8
zagreb;6;466;0.1170;jinko_solar;405;0.8
zagreb;7;518;0.1170;jinko_solar;405;0.8
zagreb;8;495;0.1170;jinko_solar;405;0.8
zagreb;9;425;0.1170;jinko_solar;405;0.8
zagreb;10;389;0.1170;jinko_solar;405;0.8
zagreb;11;357;0.1170;jinko_solar;405;0.8
zagreb;12;338;0.1170;jinko_solar;405;0.8
granada;1;470;0.2966;jinko_solar;405;0.8
granada;2;443;0.2966;jinko_solar;405;0.8
granada;3;460;0.2966;jinko_solar;405;0.8
granada;4;459;0.2966;jinko_solar;405;0.8
granada;5;454;0.2966;jinko_solar;405;0.8
granada;6;465;0.2966;jinko_solar;405;0.8
granada;7;473;0.2966;jinko_solar;405;0.8
granada;8;463;0.2966;jinko_solar;405;0.8
granada;9;451;0.2966;jinko_solar;405;0.8
granada;10;440;0.2966;jinko_solar;405;0.8
granada;11;425;0.2966;jinko_solar;405;0.8
granada;12;425;0.2966;jinko_solar;405;0.8
faro;1;373;0.1972;jinko_solar;405;0.8
faro;2;378;0.1972;jinko_solar;405;0.8
faro;3;401;0.1972;jinko_solar;405;0.8
faro;4;417;0.1972;jinko_solar;405;0.8
faro;5;429;0.1972;jinko_solar;405;0.8
faro;6;452;0.1972;jinko_solar;405;0.8
faro;7;466;0.1972;jinko_solar;405;0.8
faro;8;459;0.1972;jinko_solar;405;0.8
faro;9;426;0.1972;jinko_solar;405;0.8
faro;10;408;0.1972;jinko_solar;405;0.8
faro;11;383;0.1972;jinko_solar;405;0.8
faro;12;368;0.1972;jinko_solar;405;0.8
porto;1;373;0.1972;jinko_solar;405;0.8
porto;2;378;0.1972;jinko_solar;405;0.8
porto;3;401;0.1972;jinko_solar;405;0.8
porto;4;417;0.1972;jinko_solar;405;0.8
porto;5;429;0.1972;jinko_solar;405;0.8
porto;6;452;0.1972;jinko_solar;405;0.8
porto;7;466;0.1972;jinko_solar;405;0.8
porto;8;459;0.1972;jinko_solar;405;0.8
porto;9;426;0.1972;jinko_solar;405;0.8
porto;10;408;0.1972;jinko_solar;405;0.8
porto;11;383;0.1972;jinko_solar;405;0.8
porto;12;368;0.1972;jinko_solar;405;0.8
barcelona;1;470;0.2966;jinko_solar;405;0.8
barcelona;2;443;0.2966;jinko_solar;405;0.8
barcelona;3;460;0.2966;jinko_solar;405;0.8
barcelona;4;459;0.2966;jinko_solar;405;0.8
barcelona;5;454;0.2966;jinko_solar;405;0.8
barcelona;6;465;0.2966;jinko_solar;405;0.8
barcelona;7;473;0.2966;jinko_solar;405;0.8
barcelona;8;463;0.2966;jinko_solar;405;0.8
barcelona;9;451;0.2966;jinko_solar;405;0.8
barcelona;10;440;0.2966;jinko_solar;405;0.8
barcelona;11;425;0.2966;jinko_solar;405;0.8
barcelona;12;425;0.2966;jinko_solar;405;0.8
castelo branco;1;373;0.1972;jinko_solar;405;0.8
castelo branco;2;378;0.1972;jinko_solar;405;0.8
castelo branco;3;401;0.1972;jinko_solar;405;0.8
castelo branco;4;417;0.1972;jinko_solar;405;0.8
castelo branco;5;429;0.1972;jinko_solar;405;0.8
castelo branco;6;452;0.1972;jinko_solar;405;0.8
castelo branco;7;466;0.1972;jinko_solar;405;0.8
