,city,month,latitude,longitude,hours_of_sun,temp,humidity,precip,cloudcover,avg_mth_en_consumption_house_kwh,energy_price_eur_kwh,solar_panel_power_kwh,monthly_energy_produced_kwh,montlhy_energy_cost_eur,montlhy_solar_panel_cost_saved,money_saved,encoded_city,country
186,luxembourg,7,49.61,6.13,489.97194444444443,20.654838709677417,54.27096774193548,0.21283870967741936,36.50322580645161,344,0.1696,405,126.00213356612902,58.3424,21.369961852815482,37.0,15,luxembourg
187,luxembourg,8,49.61,6.13,445.8597222222222,21.661290322580644,54.92580645161291,0.6900645161290322,38.809677419354834,339,0.1696,405,110.49331592540322,57.4944,18.739666380948385,33.0,15,luxembourg
188,luxembourg,9,49.61,6.13,377.99361111111114,13.99,77.21333333333334,1.7801666666666667,56.64333333333333,311,0.1696,405,66.37359914625,52.7456,11.256962415204,21.0,15,luxembourg
189,luxembourg,10,49.61,6.13,333.46916666666664,12.919354838709678,86.8741935483871,1.0269032258064517,62.32258064516129,328,0.1696,405,50.885243419354836,55.6288,8.630137283922581,16.0,15,luxembourg
190,luxembourg,11,49.61,6.13,273.18361111111113,7.48,91.65,0.37456666666666666,77.8,364,0.1696,405,24.561938474999998,61.7344,4.16570476536,7.0,15,luxembourg
191,luxembourg,12,49.61,6.13,254.7941666666667,2.803225806451613,89.56451612903226,0.3596451612903226,75.38387096774194,383,0.1696,405,25.4017866375,64.9568,4.30814301372,7.0,15,luxembourg
192,madrid,1,40.42,-3.6919999999999997,299.7311111111111,6.625806451612903,62.31935483870968,0.4116451612903226,25.548387096774192,470,0.2966,405,90.37763187096773,139.402,26.806005612929027,19.0,16,spain
193,madrid,2,40.42,-3.692,299.0225,9.782142857142857,57.625,0.2315,39.839285714285715,443,0.2966,405,72.85709910937499,131.3938,21.60941559584062,16.0,16,spain
194,madrid,3,40.42,-3.6919999999999997,370.79083333333335,9.906451612903227,71.85806451612903,3.3054193548387096,78.74838709677418,460,0.2966,405,31.913608195161302,136.43599999999998,9.46557619068484,7.0,16,spain
195,madrid,4,40.42,-3.692,398.98333333333335,11.896666666666667,63.11,1.8480333333333334,50.266666666666666,459,0.2966,405,80.363223,136.1394,23.8357319418,18.0,16,spain
196,madrid,5,40.42,-3.6919999999999997,447.44138888888887,19.916129032258063,47.82258064516129,0.3300967741935483,36.351612903225806,454,0.2966,405,115.33963702862901,134.6564,34.209736342691365,25.0,16,spain
197,madrid,6,40.42,-3.692,450.2625,24.38,36.5,0.03556666666666666,33.653333333333336,465,0.2966,405,120.9873348,137.91899999999998,35.884843501679995,26.0,16,spain
198,madrid,7,40.42,-3.6919999999999997,456.4352777777778,29.23548387096774,28.845161290322583,0.16348387096774192,9.041935483870969,473,0.2966,405,168.14170124637096,140.2918,49.87082858967362,36.0,16,spain
199,madrid,8,40.42,-3.6919999999999997,425.71972222222223,27.458064516129035,35.00322580645161,0.07235483870967743,19.85483870967742,463,0.2966,405,138.1834719979839,137.3258,40.98521779460202,30.0,16,spain
200,madrid,9,40.42,-3.692,373.6355555555555,20.956666666666667,50.27333333333333,0.7941666666666667,37.74333333333333,451,0.2966,405,94.20828216,133.76659999999998,27.942176488655996,21.0,16,spain
201,madrid,10,40.42,-3.6919999999999997,344.82416666666666,17.848387096774193,62.3,0.735516129032258,50.70967741935484,440,0.2966,405,68.83580235483872,130.504,20.41669897844516,16.0,16,spain
202,madrid,11,40.42,-3.692,298.5625,11.120000000000001,78.08,1.1860666666666666,58.763333333333335,425,0.2966,405,49.86247528125,126.05499999999999,14.789210168418748,12.0,16,spain
203,madrid,12,40.42,-3.6919999999999997,289.5761111111111,8.961290322580645,88.68064516129031,4.022903225806452,70.41290322580646,425,0.2966,405,34.69925151290322,126.05499999999999,10.291797998727093,8.0,16,spain
204,minsk,1,53.904,27.566,250.38805555555558,-2.358064516129032,87.74516129032257,1.481818181818182,81.41935483870968,347,0.056,405,18.842105032258065,19.432000000000002,1.0551578818064518,5.0,17,belarus
205,minsk,2,53.904,27.566,274.3025,-0.3428571428571429,83.91785714285713,1.1892857142857143,66.88214285714285,315,0.056,405,36.79145958616071,17.64,2.0603217368249997,12.0,17,belarus
206,minsk,3,53.904,27.566,368.40722222222223,0.5225806451612903,64.29354838709678,0.07419354838709677,33.90967741935484,332,0.056,405,98.61001623870968,18.592,5.522160909367742,30.0,17,belarus
207,minsk,4,53.904,27.566,421.75166666666667,4.943333333333333,77.23333333333333,3.02,59.376666666666665,375,0.056,405,69.38848208249999,21.0,3.8857549966199993,19.0,17,belarus
208,minsk,5,53.904,27.566,495.4763888888889,10.996774193548386,66.51935483870967,1.493548387096774,35.87096774193548,430,0.056,405,128.68640637096775,24.080000000000002,7.206438756774194,30.0,17,belarus
